age,gpa,faminc,mayuse,attuse,attusers,streneff,athabil,wghtsat,sterknow,testknow,suppknow,peerinfo,teaminfo,coainfo,coachtol,bodyimg,esteem,impuls,rmay,rsupp,rtest
18,3.5,6,1,4.67,4,6.17,6,5,16,0,3,3,5,5,1.67,3.67,5,3.5,0,0,0
18,3,7,1.6,5.33,4,7,6,5,10,0,3,3,6,7,1,5,5.25,3,0,0,0
17,2.5,7,1,5,3,6.5,6.5,5,10,1,2,3,6,5.33,1.67,3.67,6,4.5,0,0,0
17,4,999,1,3,3,7,6.75,5,12,0,1,2.67,7,6.33,1.67,4.67,7,1.17,0,0,0
17,4,3,1,5.33,4,5.33,4.75,1,11,2,1,6,5,6,1,4,6,1.5,0,0,0
17,3,7,4.8,3.67,3,5.5,5.75,2,15,2,4,1,5.67,7,3,4,4.5,2,0,0,0
16,4,3,3.2,6,5.33,6.33,5.25,2,14,2,1,4.67,7,6,4,4.33,6.75,3,0,0,0
17,3,6,1.4,4.33,4.67,7,6.5,4,1,1,3,2,6.67,6.67,1,4.33,6.25,1.67,0,0,0
17,2.5,2,1,4,5.33,6.17,999,3,13,1,999,7,999,7,1,999,999,999,0,1,0
999,999,999,3,3.33,4,5.17,6,3,9,0,2,4.33,3.67,6,1.67,4.67,5,3.83,0,0,0
17,3.5,999,1,7,7,6.67,6.75,3,8,0,3,7,7,7,1.67,3.33,7,1,0,0,0
16,3,5,1,3.67,4.67,6.17,6.75,2,11,1,3,5.33,6,5.33,2.33,4,6.75,4.83,0,0,0
17,2.5,4,1,7,6.33,6.67,6.25,1,16,1,3,4.33,4.33,4.33,1,3,5.75,3.33,0,0,0
15,3,5,1,7,5.67,6.5,4.75,4,15,2,4,4.67,5,5.33,2.33,4.33,6.75,1,0,0,0
15,3.5,999,1.8,6.33,4.67,6.17,5.25,4,5,0,3,5,5.67,4,3.33,3.33,5.5,3.17,0,0,0
15,3,6,1,6.67,6.67,5.17,4.5,3,16,1,1,4.33,6.67,5.33,2.33,3.67,5.75,1,0,0,0
16,2.5,4,1,7,6.33,6.33,6.5,3,13,0,1,5.67,6.33,5.67,1,3.67,5.75,2.83,0,0,0
17,4,6,1,4.33,5.33,6.83,6.25,4,11,0,1,1.67,6.33,4.33,2,3.67,6.25,1.5,0,0,0
17,3,999,1,5.67,2.67,6.5,5.75,1,4,0,3,3.67,6.33,5,1.33,3.67,6.25,3.17,0,0,0
16,3.5,6,1,6,4.67,5.83,7,4,7,1,2,5.33,6.33,5.67,1,4.67,7,1,0,0,0
17,3,7,1,5,3.67,6.33,7,5,16,1,4,6.67,7,6.67,1,5,7,3.17,0,0,0
18,3,3,1,3.67,7,5.67,7,5,5,0,2,4.67,6,6.33,2,5,7,1.33,0,0,0
999,999,999,1,6,4.67,5.17,6.5,999,8,1,1,2,4.67,5,2,3.67,5.75,3.5,0,0,0
16,4,7,1,7,5,5,6,3,16,0,1,1.67,4.67,4.67,4,4.33,6.5,2.67,0,0,0
16,2.5,999,4,4,6.67,4,4,3,8,0,999,4,4,4,4,2.67,4,4,0,1,0
16,2.5,7,4,4,4,4,4,2,8,0,1,4,4,4,4,3.33,4,4,0,0,0
17,3,7,2,4.33,5.33,7,7,3,9,1,3,5,7,5.67,2,5,7,1.17,0,0,0
17,3,7,1,3,5.33,7,7,4,13,0,1,5.33,5,6.33,1,2.67,5.25,2.5,0,0,0
17,3,7,1.2,4.33,4.33,6.17,7,4,11,1,2,2.33,6,5.67,1.67,4.67,7,1.67,0,0,0
18,3,6,1,7,999,7,7,4,14,0,3,7,7,7,1,5,6.25,3.5,0,0,0
15,1,7,1,4.33,3.33,2.33,5,2,12,0,999,1,4.67,1,1.33,3.33,5.75,4.33,0,1,0
15,2.5,5,4.4,7,4,5.5,7,3,9,0,0,1,4,6.33,2.33,4,5.25,4.67,0,0,0
15,4,7,1,7,6.67,7,7,2,12,2,1,7,7,7,1,5,7,1,0,0,0
16,2.5,6,1,7,7,7,7,2,13,0,4,7,7,7,2,4,7,3.5,0,0,0
15,4,999,1,6.33,5.33,6.5,5.25,3,13,2,4,7,6,7,2,4,6.5,2.83,0,0,0
16,2.5,999,1,6.67,4.33,6.83,6.5,2,16,1,1,7,5,1,4,4,7,2.5,0,0,0
16,1.5,3,1,4.33,6.33,6,5.25,2,14,2,4,6.33,6,6,1.33,5,6,3.67,0,0,0
16,3.5,6,1,7,5.67,7,7,3,14,1,4,7,7,7,2.67,4,7,1,0,0,0
17,3,4,1,7,6,7,6.75,4,16,0,3,4.67,5,7,1,4.67,7,2.5,0,0,0
999,999,999,1.2,5,6.67,5.67,6,999,15,0,3,6,5.33,6,2,3.33,6.25,2.33,0,0,0
18,3.5,6,1,7,7,6.67,6.5,4,15,1,4,7,7,7,1,3,5.5,3.67,0,0,0
